t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8
1.87625,-0.99372473528542,0.980712265359112,1.49162934990835,0.995628469455533,0.086961330344927,0.033925087313568,0.003281225029393,0.077774946486081,-0.227132648406708,-0.007146785906968,0.587401912908518,0.383981440413322,0.012544518266407,0.12048031616082,-0.296061624007729,0.032137668213438,-0.000642520033356,0.000982258755028,-5.72084082081047E-08,2.54999962771713,2.55000002493132,2.55000002077027,2.5500000171261,0.987314627072061,0.001280701346452,0.090000001303608,0.987314617888309,0.001280701346443,0.04500348974876,0.987314609098875,0.001280701346424,0.044996575252651,0.987314601440785,0.001280701346352,0.000244301262712,0.987314627226324,0.001280701329508,0.089999949652347,0.9873146178528,0.001280701329508,0.045003489741809,0.987314608688101,0.001280701329508,0.04499657524589,0.987314599941053,0.001280701329508,0.000244301262763,0.987314592446956,0.001280701329508,0.044075172491994
2.06388,-0.991061202893759,0.973078191116095,1.49150848755787,0.99461110447008,0.095715440130437,0.039671564099584,0.003670495875241,0.100380066030149,-0.282681211162573,-0.001116955848566,0.587281360086063,0.384165736714063,0.012544507532679,0.139207760476296,-0.323987483235183,0.025188513891585,-0.000642623260027,0.000981826766022,-3.26751902047333E-08,2.54999978713951,2.55000002494289,2.55000002079097,2.55000000777928,0.986027199394237,0.001287427677823,0.090000001374258,0.986027190210495,0.001287427677814,0.045004887754661,0.986027181421081,0.001287427677794,0.044995231015071,0.986027173763065,0.001287427677721,0.000441195040873,0.986027199565831,0.001287427660493,0.089999949095281,0.986027190192307,0.001287427660493,0.045004887747514,0.986027181027608,0.001287427660493,0.044995231008191,0.98602717228056,0.001287427660493,0.000441195040924,0.986027164786463,0.001287427660493,0.044070324518804
2.2515,-0.98766679314182,0.963698995580441,1.49154929392883,0.993483557262408,0.104457131721848,0.045416385836862,0.004059696024197,0.126498922348789,-0.343469363308001,0.003609039117257,0.587160787895703,0.384349951962867,0.012544501401996,0.157893267447075,-0.35175670620498,0.017534525030294,-0.00064291118217,0.000981503224599,-1.97032858498483E-08,2.54999983899225,2.55000002494585,2.55000002077483,2.54999997037163,0.984731358492721,0.001295840901516,0.090000001466083,0.984731349308987,0.001295840901507,0.045006625458108,0.984731340519594,0.001295840901487,0.044993585297354,0.984731332861653,0.001295840901412,0.000771173746445,0.984731358682047,0.001295840883784,0.089999948665454,0.984731349308523,0.001295840883784,0.045006625450746,0.984731340143824,0.001295840883784,0.044993585290357,0.984731331396776,0.001295840883784,0.000771173746496,0.984731323902679,0.001295840883784,0.044064228062821
2.43913,-0.983436208059459,0.952417926107944,1.49171066877997,0.992245952858652,0.113185436587361,0.05115891086957,0.004448816852779,0.156123646947622,-0.409467715964858,0.006898954408723,0.587040161683951,0.38453410650721,0.012544497705167,0.149702763244866,-0.324681494080902,-0.207176310986101,-1.91482963298614,-1.91254669222737,0.204317578641587,2.54999983278145,2.55000002494166,2.55000002072445,1.14438000588138,0.983425196125451,0.00130616236727,0.090000001580827,0.983425186941727,0.00130616236726,0.04500875471106,0.983425178152354,0.00130616236724,0.044991606860433,0.98342517049449,0.001306162367163,0.001297863182373,0.98342519633293,0.001306162349118,0.089999948382441,0.983425186959405,0.001306162349118,0.045008754703464,0.983425177794706,0.001306162349118,0.044991606853322,0.983425169047658,0.001306162349118,0.001297863182423,0.983425161553562,0.001306162349118,0.044056761037817
2.62675,-0.978335191578489,0.939227874510216,1.49133684760842,0.991371424105602,0.119257540228917,0.054183048237841,0.00495344372649,0.184211628180262,-0.470386081896506,-0.03197250132591,0.227770248228557,0.025692529815932,0.050879583778337,0.148021580537829,-0.328278297997507,-0.231742142156184,-2.10888755838895,-2.11062472577226,0.225304265273441,2.5499997083737,2.55000002493128,2.5500000205979,1.00000022034984,0.982106714581669,0.001318481543782,0.0900000017181,0.982106705397954,0.001318481543773,0.045011315721972,0.982106696608602,0.001318481543752,0.044989282726964,0.982106688950817,0.001318481543673,0.002097292549193,0.982106714807736,0.001318481525193,0.089999948251433,0.982106705434212,0.001318481525193,0.045011315714119,0.982106696269513,0.001318481525193,0.044989282719742,0.982106687522465,0.001318481525193,0.002097292549241,0.982106680028368,0.001318481525193,0.044047975610619
2.81438,-0.972388918944661,0.92419303705609,1.48972525450294,0.991448657574951,0.119772992420539,0.051493969652071,0.005688788539355,0.211984177504362,-0.531979298169707,-0.075453121179584,-0.167909783841972,-0.370313438288126,0.093152296969895,0.159733170662419,-0.382612231281407,0.010203949175,0.004596921612052,-0.002077713322111,-1.11927607901428E-07,2.54999896383799,2.55000002491517,2.55000002038168,2.54999972931982,0.980773902815811,0.001332811765857,0.090000001876239,0.980773893632107,0.001332811765848,0.045014353995478,0.980773884842776,0.001332811765826,0.044986600594169,0.980773877185072,0.001332811765745,0.003248630924154,0.980773903060924,0.001332811746812,0.089999948268429,0.9807738936874,0.001332811746812,0.045014353987343,0.980773884522701,0.001332811746812,0.044986600586837,0.980773875775653,0.001332811746812,0.003248630924195,0.980773868281556,0.001332811746812,0.044038078726368
3.002,-0.965571380111849,0.907153309789945,1.48748866417234,0.992008372196133,0.117383536711526,0.045801249232605,0.006537730242323,0.241954113947401,-0.603766918776496,-0.073538605196619,-0.167047286415949,-0.370703269254057,0.093152275969478,0.141655066867766,-0.375094238446641,0.013728048947211,0.004561782554899,-0.002026445374052,-4.44510722555876E-06,2.54996940958018,2.5500000248932,2.55000002011543,2.5499999852883,0.979424530615274,0.001349372200537,0.090000002055797,0.979424521431579,0.001349372200527,0.045017983515447,0.979424512642271,0.001349372200505,0.04498349104957,0.979424504984649,0.001349372200423,0.004840785879935,0.97942453087991,0.001349372181015,0.089999948446368,0.979424521506385,0.001349372181015,0.045017983506999,0.979424512341687,0.001349372181015,0.044983491042133,0.979424503594638,0.001349372181015,0.004840785879961,0.979424496100542,0.001349372181015,0.044027238752983
3.18963,-0.957905591886602,0.887981128680958,1.48531954608276,0.992528001061105,0.115002307801132,0.040101091563649,0.007385141270162,0.268532146132298,-0.67414397596366,-0.070962879987331,-0.16619138195559,-0.371083481071138,0.093151441956226,0.115289059169752,-0.337029461856001,-0.107891902739796,-1.09425435245972,1.09435010725326,-0.117122519071108,1.74424587549052,2.55000002486489,2.55000001981988,2.55000000860361,0.978056181270022,0.001368349345253,0.090000002256429,0.978056172086337,0.001368349345242,0.045022345429306,0.978056163297051,0.00136834934522,0.044979869575221,0.978056155639514,0.001368349345135,0.00695734030445,0.978056181554678,0.001368349325232,0.089999948792203,0.978056172181154,0.001368349325232,0.045022345420509,0.978056163016455,0.001368349325232,0.044979869567683,0.978056154269407,0.001368349325232,0.006957340304446,0.97805614677531,0.001368349325232,0.044015797594791
3.37725,-0.94951946462551,0.866802882503409,1.48288531424032,0.993127274646727,0.111077109788889,0.035932674405152,0.008302766156059,0.290163256073749,-0.737379129372109,-0.091206098439833,-0.371500856873894,-0.165756040159519,0.071176329097369,0.110908319750933,-0.333111084479064,-0.051067631201158,-0.635527771295415,0.632757661506275,-0.067937720339868,2.0826168080239,2.55000002482988,2.55000001951004,2.55000001589846,0.976666494250434,0.001389687019587,0.090000002474677,0.97666648506676,0.001389687019577,0.045027550363269,0.976666476277498,0.001389687019553,0.044975690496854,0.976666468620048,0.001389687019467,0.009645411018527,0.976666494555634,0.001389686999044,0.08999994928847,0.97666648518211,0.001389686999044,0.045027550354079,0.976666476017411,0.001389686999044,0.044975690489222,0.976666467270362,0.001389686999044,0.009645411018467,0.976666459776266,0.001389686999044,0.044004368737686
3.56488,-0.940500011642962,0.84373484797729,1.4800032202123,0.993872391918789,0.104700407781446,0.034185088983202,0.00932060482993,0.310972429773585,-0.799879097217913,-0.100787662839064,-0.490741756146867,-0.047034882740893,0.058429514192067,0.107851519424715,-0.308531252149389,-0.056397928422192,-0.725963060520397,0.722056262402802,-0.077478435795883,2.01698066385842,2.55000002478732,2.55000001919882,2.55000001915515,0.975253124878527,0.001413369371907,0.09000000270754,0.975253115694865,0.001413369371896,0.045033720012948,0.975253106905626,0.001413369371872,0.044970910490391,0.975253099248265,0.001413369371783,0.012903167722492,0.975253125204817,0.001413369350817,0.089999949920056,0.975253115831293,0.001413369350817,0.045033720003314,0.975253106666594,0.001413369350817,0.044970910482667,0.975253097919546,0.001413369350817,0.012903167722331,0.975253090425449,0.001413369350817,0.043993532109565
3.7525,-0.930867598636255,0.818858233450239,1.4768184566291,0.994697078787588,0.096388653352611,0.034333723554342,0.010399275048277,0.33120807130652,-0.857767273977082,-0.111369324264319,-0.626950576729112,0.088440924837263,0.043892622531561,0.116589191589004,-0.296442983683947,0.032360333690894,-0.000522396695493,-0.003659817843361,-7.65191123529811E-07,2.54999476255058,2.55000002473601,2.55000001889191,2.55000002090262,0.973813659866199,0.001439465012329,0.090000002952877,0.973813650682547,0.001439465012318,0.045040992538586,0.973813641893332,0.001439465012293,0.044965487539354,0.973813634236063,0.001439465012202,0.01665488889071,0.973813660214152,0.001439464990665,0.089999950677883,0.973813650840627,0.001439464990665,0.045040992528449,0.973813641675928,0.001439464990665,0.044965487531545,0.97381363292888,0.001439464990665,0.016654888890384,0.973813625434783,0.001439464990665,0.043983760086224
