t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
3.7525,-0.981448783200306,-0.993311585118629,1.47877702284079,0.996147597286876,-0.04731474368182,0.073719026580181,0.004096807485471,0.208863486191604,0.095477558542623,-0.058562166633522,-0.526969714375005,0.445292368816191,0.035147749566131,0.12472688836097,0.083782422786947,0.017921604018563,-0.001042689688987,-0.00123494924767,5.65517562388795E-08,2.55000002529831,2.55000002205728,2.55000002432225,2.54999924945823,0.987315618975541,0.001280430554039,0.089999990178018,0.987315609602017,0.001280430554039,0.044996905804645,0.987315600437318,0.001280430554039,0.045003206684107,0.98731559169027,0.001280430554039,0.00042255869848,0.987315584196174,0.001280430554039,0.044046471322108
4.12775,-0.974490710578905,-0.989987712866444,1.47712383202263,0.99522569119798,-0.055177562975577,0.080357691957532,0.004888837122877,0.255667251513665,0.126916913005515,-0.051837084658798,-0.527360983684681,0.444828954106403,0.035147770787178,0.135227665555508,0.096613378167806,0.014768520321616,-0.001041316332807,-0.001235577746689,2.5754284857938E-08,2.55000002530717,2.55000002215874,2.55000002378086,2.54999967257179,0.986028481891915,0.001287137083626,0.089999990256016,0.986028472518391,0.001287137083626,0.044995927108976,0.986028463353692,0.001287137083626,0.045004244941307,0.986028454606644,0.001287137083626,0.000638751235254,0.986028447112547,0.001287137083626,0.044030717877927
4.503,-0.966069343047426,-0.985648421087972,1.4756549656124,0.994197159806112,-0.063040260745681,0.086980780754985,0.005681197003286,0.306411433517092,0.163171083522869,-0.046295197353099,-0.527751737642446,0.444365303552355,0.035147780451473,0.145645483878078,0.109423809395139,0.011275153237202,-0.001040115666954,-0.001236378948551,1.34908885779664E-08,2.55000002531307,2.55000002220222,2.5500000228263,2.54999984031377,0.984732945958487,0.001295535933428,0.089999990383151,0.984732936584963,0.001295535933428,0.0449948096782,0.984732927420264,0.001295535933428,0.045005456509215,0.984732918673216,0.001295535933428,0.000973504568961,0.984732911179119,0.001295535933428,0.044011215860904
4.87825,-0.956066930821515,-0.980149375627439,1.47433301105269,0.993062114285206,-0.07090197399227,0.093587580370486,0.006473895066912,0.361064901884871,0.204232368405998,-0.042064196058839,-0.528142041050345,0.443901352347306,0.035147785513929,0.155975844663875,0.122208180794247,0.007443025184966,-0.001038975218881,-0.001237241327515,7.75185051315873E-09,2.55000002531674,2.55000002218957,2.55000002093307,2.54999991740124,0.983427094794469,0.001305851164017,0.089999990564159,0.983427085420945,0.001305851164017,0.044993553716611,0.983427076256246,0.001305851164017,0.0450068594956,0.983427067509198,0.001305851164017,0.001482818821029,0.983427060015102,0.001305851164017,0.043987426873087
5.2535,-0.944366683381872,-0.973346504549305,1.4731167334775,0.991820677322574,-0.078761839846221,0.100177380055339,0.007266939259615,0.419594838176,0.250090988704265,-0.039271200830456,-0.5285319165051,0.443437077534547,0.035147788422811,0.166214285189174,0.134960967957368,0.003273796101942,-0.001037857514186,-0.001238129849143,4.53637872259979E-09,2.55000002531866,2.55000002211706,2.55000001637148,2.54999995715629,0.982108768128174,0.001318326666295,0.089999990803319,0.98210875875465,0.001318326666295,0.04499215933234,0.982108749589952,0.001318326666295,0.045008479550172,0.982108740842903,0.001318326666295,0.002238920924696,0.982108733348807,0.001318326666295,0.043958723754183
5.62875,-0.930852819918013,-0.965096060394168,1.47196109362556,0.990472983094214,-0.086618995248126,0.106749471402175,0.008060337432052,0.481966749312385,0.300735092432997,-0.038042708831007,-0.528921372541165,0.442972469304044,0.035147790125087,0.17635638166156,0.147676660031983,-0.001230731601605,-0.001036742550639,-0.001239037304182,1.71133815685527E-09,2.55000002531916,2.55000002197416,2.54999999977229,2.5499999795707,0.980775536804147,0.001333231324027,0.089999991104345,0.980775527430623,0.001333231324027,0.044990627056996,0.980775518265924,0.001333231324027,0.045010351859182,0.980775509518876,0.001333231324027,0.003330879066806,0.98077550202478,0.001333231324027,0.043924370849447
6.004,-0.91541061935019,-0.955254682295425,1.47081726732969,0.989019177251025,-0.094472576884324,0.113303148540208,0.008854097294951,0.548144482187813,0.356150759660094,-0.038504540869094,-0.529310410187154,0.442507520551034,0.035147790767267,0.182892644152772,0.157301608068368,-0.019885724959167,0.123227420012032,-0.125243251085839,-0.013251071167318,2.55000002531849,2.55000002174008,2.36767629087304,2.54999999296431,0.979424671576186,0.001350865227961,0.089999991470266,0.979424662202662,0.001350865227961,0.044988958613677,0.979424653037963,0.001350865227961,0.045012523782704,0.979424644290915,0.001350865227961,0.004862775699324,0.979424636796819,0.001350865227961,0.043883501560379
6.37925,-0.897945545479053,-0.943695891405393,1.46955457987507,0.987537263997269,-0.101977578009029,0.119492555051161,0.009604912919411,0.616774947587416,0.415178188673698,-0.045966659234095,-0.483069320368617,0.395509990114542,0.03017532626237,0.164344282648311,0.144420245313343,-0.127543040510474,1.05515120353639,-1.05562770602142,-0.11265216579693,2.55000002531686,2.55000002138112,1.00000005670229,2.55000000058536,0.978053130899682,0.001371540676505,0.089999991902612,0.978053121526158,0.001371540676505,0.044987159265996,0.978053112361459,0.001371540676505,0.045015056924259,0.97805310361441,0.001371540676505,0.006946646610104,0.978053096120314,0.001371540676505,0.043835155205268
6.7545,-0.878520727331224,-0.930433044681818,1.46745972476901,0.986732617486354,-0.10621195721516,0.122387813813159,0.009949087079437,0.678445140263377,0.469371886265495,-0.093827185660748,-0.087123827311148,-0.00061431050221,-0.012097399372557,0.164250332369319,0.146188473831533,-0.127909394060594,1.05483024080714,-1.05570137194377,-0.112652165778834,2.55000002531444,2.55000002087786,1.00000005956693,2.55000000370185,0.976657742522605,0.001395388377077,0.089999992396333,0.976657733149081,0.001395388377077,0.044985246978304,0.976657723984382,0.001395388377077,0.045018019584363,0.976657715237334,0.001395388377077,0.009677063668218,0.976657707743237,0.001395388377077,0.043778734396301
7.12975,-0.857239192670301,-0.915526945534149,1.46392356479086,0.987272984906596,-0.104602260386815,0.119410245581063,0.009571496467154,0.740080078096797,0.52422911161533,-0.141825186258449,0.308701224480973,-0.396766254256596,-0.054370125000694,0.185245712417579,0.165874574284158,-0.010579445235985,0.027991642265055,-0.030615194850088,-0.003145226016147,2.55000002531134,2.55000002024874,2.50672430979419,2.55000000424687,0.975235242203724,0.001422500318881,0.089999992944322,0.9752352328302,0.001422500318881,0.04498324371239,0.975235223665501,0.001422500318881,0.045021495695061,0.975235214918453,0.001422500318881,0.013088152013616,0.975235207424356,0.001422500318881,0.0437137190743
